Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,d3a710ed-fc00-4e1e-8166-4ad538ab48fe,5902,49,Zander,No floor pickup. they also have funny eyes on their robot. ,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00
,fbe2895e-e8bb-417a-bb75-571b325fb208,6161,4,Anton,Auto = 0. Accuracy = 0. Can hang on chain. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00
,8e325e79-abc1-4dd3-aa62-ec1f10ec0547,6161,9,Anton,Auto = 0. Speed = 2. Efficiency = 0. Stability = 3. Accuracy = 0. Can hang on chain. Can't pick from the floor. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
,24df1586-cb80-4a57-99e6-a25b6c5f8262,6161,12,Zander,Kept moving slower and slower the longer the match went on. almost like they had a dead battery?,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,01a57ada-7015-4a2f-b8c1-321aaab8ff2d,6161,19,Gabber,Weak shot ,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,3.00,0.00
,23923d8a-3001-42ec-b37b-5cf68783471e,6161,29,Chase,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00
,f2525a02-29cf-4208-90dc-1cde5786d14a,6161,32,Jean,the shots aren't strong enough to reliably score in the speaker.,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00
,2b3c058b-8e2d-4f66-8716-c5ba9659a1e5,6161,38,Anton,Auto = 1. Speed = 1. Efficiency = 1. Stability = 3. Accuracy = 0. Defense = 2. Can hang on chain. Can't pick from the floor. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,3.00,8.00
,f0d93f41-4289-4588-8436-3adceedda4d6,6161,46,rachek,,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00
,a19ae266-7df2-4678-8c14-78b1396c2597,6161,52,DAB,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00
,60afc24f-4937-4589-9b3b-21cf91c909dc,6324,2,rackel,Dead. died,1.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,8.00,0.00,0.00
,78267ee4-306a-4c0c-9484-9f64ee46915c,6324,8,Chase,Can go under the chain. Defense = 4. ,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,4.00
,fd318648-18bd-4ef8-80b0-f3e7a1338048,6324,12,terri,Did not see any amp attempts,1.00,0.00,0.00,11.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,22.00,1.00,0.00
,3c155cfd-c933-47e2-81a2-f12edd2fea11,6324,18,Joyce,,0.00,1.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,6.00,1.00,0.00
,33b10aa7-4636-4fa0-b1fd-05300bec0e14,6324,25,DAB,"Bot stopped shooting, played defense.",1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,2.00,1.00,0.00
,bf08ea17-39c7-4cef-a041-0df6c769d0ce,6324,31,logan,,1.00,1.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,14.00,0.00,0.00
,bbb66f4a-e7b7-41bb-b1d8-d05e74d96bf5,6324,41,Anton,Speed = 3. Efficiency = 4. Accuracy = 4. ,1.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,9.00,0.00,11.00
,a378a7b6-f3f8-4844-9500-81dd3df08c8b,6324,47,Joyce,Crossed middle line during auto. Can go under the chain. Auto = Decent ,0.00,1.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,10.00,1.00,0.00
,3d7c600c-e843-4b80-8970-7164cc192586,6324,50,Nicholas,"They did well. slow cycles, but consistent shots.",1.00,2.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,10.00,1.00,0.00
,36db24a4-d6ae-48a8-b841-1e6fa88cfa79,6690,3,Zander,Tried to climb but didn't get off the ground enough,1.00,1.00,0.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,12.00,1.00,0.00
,61a2165f-9b3e-44d5-8081-e8ee45392263,6690,10,DAB,,1.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00
,2e8e34ad-6343-492d-b915-a46fde2ef83e,6690,14,Jean,"it has a very difficult time picking up notes. It froze at its own source, blocking it.",1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2.00,0.00,0.00
,4b5e8009-659c-4a0b-bd06-21ec388507b4,6690,18,Gage,Died,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00
,74cc3bcd-fdef-4920-a6fe-aee4093d250e,6690,26,Nicholas,Can go under the chain. Finicky intake. lost connection.,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,0.00
,906535d0-0f59-4e18-a436-e5661ad2f7ee,6690,34,ash,Was not there,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,72ea7aeb-440f-4e38-b93d-75f008ad5805,6690,37,terri,"Defense = Played defense well all match
",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
