Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,36601221-bece-45c2-907e-e418f9c93267,1729,52,Chase,Auto = 3. Speed =  5. Efficiency = 3. Stability = 3. Accuracy = 3. ,1.00,1.00,0.00,0.00,5.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,20.00,3.00,17.00
,b8ce42c0-6856-4bd4-b003-9a8de0a0f594,1729,58,rachel,Struggling to do amp. missed a couple speaker shots.,1.00,1.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00
,a3891e31-b63b-40ab-a4bd-ec846fc0fe18,1729,71,Ash,Auto = 2. Speed = 3. Accuracy = 3. Can hang on chain. ,1.00,2.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,6.00,3.00,8.00
,4486e293-3d84-4b81-b832-c394ba810346,1729,79,GABE,Disconnected,1.00,2.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,6.00,0.00,0.00
,33b0ef54-389e-4b93-a794-d1778f5b7dce,1729,84,Zander,They lost connection at like a minute to go. they were doing good up until then,1.00,1.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,9.00,0.00,0.00
,60a47e65-211e-4238-af6b-91eede43e94c,1729,95,DAB,,1.00,1.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,11.00,1.00,0.00
,40513bc8-b6ef-4694-90dd-91f801dba27a,1740,8,Chase,,1.00,1.00,0.00,0.00,6.00,3.00,1.00,0.00,1.00,1.00,0.00,0.00,7.00,21.00,5.00,0.00
,999ac0c0-e49c-430d-8f75-6901c4051a0b,1740,16,zander,Had a piece stuck inside but managed to get it out. ,0.00,2.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,10.00,4.00,6.00,0.00
,e8797c52-83d4-4620-8fb2-ae0dccc3ef71,1740,23,DAB,,1.00,4.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,22.00,8.00,3.00,0.00
,8d0b5cd6-6304-4350-b9bf-6da6c10d989d,1740,28,Ash,Speed = 4. Stability = 3. Accuracy = 1. ,1.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,2.00,1.00,8.00
